iid	series	is_control	sra_path	tf
GSM2534674	GSE96490	False	nan	H4K20me1
GSM2534675	GSE96490	False	SRR5339603	H4K20me1
GSM2534676	GSE96490	False	SRR5339604	H4K20me1
GSM2534672	GSE96489	False	SRR5339585,SRR5339586,SRR5339587	H3K79me2
GSM2534673	GSE96489	False	SRR5339588,SRR5339589,SRR5339590	H3K79me2
GSM2534670	GSE96488	False	SRR5339591	H3K27ac
GSM2534671	GSE96488	False	SRR5339592,SRR5339593	H3K27ac
GSM2534668	GSE96487	False	SRR5339631	FLAG-KAT8
GSM2534669	GSE96487	False	SRR5339632	FLAG-KAT8
GSM2534666	GSE96486	False	SRR5339583	H3K27ac
GSM2534667	GSE96486	False	SRR5339584	H3K27ac
GSM2534664	GSE96485	False	nan	CBX1
GSM2534665	GSE96485	False	SRR5339580	CBX1
GSM2534662	GSE96484	False	SRR5339578	H2AFZ
GSM2534663	GSE96484	False	SRR5339579	H2AFZ
GSM2534660	GSE96483	False	SRR5339601	H3K9ac
GSM2534661	GSE96483	False	SRR5339602	H3K9ac
GSM2534659	GSE96482	False	SRR5339607	Control
GSM2534657	GSE96481	False	SRR5339574,SRR5339575,SRR5339576	H3K9me2
GSM2534658	GSE96481	False	SRR5339577	H3K9me2
GSM2534655	GSE96480	False	SRR5339594	MBD2
GSM2534656	GSE96480	False	SRR5339595	MBD2
GSM2534653	GSE96479	False	SRR5339639	H3K27me3
GSM2534654	GSE96479	False	SRR5339640	H3K27me3
GSM2534651	GSE96478	False	SRR5339608	FLAG-KLF9
GSM2534652	GSE96478	False	SRR5339609	FLAG-KLF9
GSM2534649	GSE96477	False	SRR5339581	CTCF
GSM2534650	GSE96477	False	SRR5339582	CTCF
GSM2534648	GSE96476	False	SRR5339569	Control
GSM2534644	GSE96475	False	SRR5339560	H3K4me3
GSM2534645	GSE96475	False	SRR5339561	H3K4me3
GSM2534646	GSE96475	False	SRR5339562	H3K4me3
GSM2534647	GSE96475	False	SRR5339563	H3K4me3
GSM2534642	GSE96474	False	SRR5339552	FLAG-HMG20B_isoform2
GSM2534643	GSE96474	False	SRR5339553	FLAG-HMG20B_isoform2
GSM2534640	GSE96473	False	SRR5339564	FLAG-GATAD2A
GSM2534641	GSE96473	False	SRR5339565	FLAG-GATAD2A
GSM2534639	GSE96472	False	SRR5339566	Control
GSM2534635	GSE96471	False	SRR5339570	H3K9me3
GSM2534636	GSE96471	False	SRR5339571	H3K9me3
GSM2534637	GSE96471	False	SRR5339572	H3K9me3
GSM2534638	GSE96471	False	SRR5339573	H3K9me3
GSM2534633	GSE96470	False	SRR5339550	H3K4me3
GSM2534634	GSE96470	False	SRR5339551	H3K4me3
GSM2534631	GSE96469	False	SRR5339546	RAD21
GSM2534632	GSE96469	False	SRR5339547	RAD21
GSM2534627	GSE96468	False	SRR5339554	H3K4me1
GSM2534628	GSE96468	False	SRR5339555	H3K4me1
GSM2534629	GSE96468	False	SRR5339556	H3K4me1
GSM2534630	GSE96468	False	SRR5339557	H3K4me1
GSM2534623	GSE96467	False	SRR5339539	H3K9me3
GSM2534624	GSE96467	False	SRR5339540	H3K9me3
GSM2534625	GSE96467	False	SRR5339541	H3K9me3
GSM2534626	GSE96467	False	SRR5339542	H3K9me3
GSM2534621	GSE96466	False	SRR5339548	FLAG-MXD3_isoform1
GSM2534622	GSE96466	False	SRR5339549	FLAG-MXD3_isoform1
GSM2534618	GSE96465	False	SRR5339543	H2AFZ
GSM2534619	GSE96465	False	SRR5339544	H2AFZ
GSM2534620	GSE96465	False	SRR5339545	H2AFZ
GSM2534616	GSE96464	False	SRR5339532	H3K4me1
GSM2534617	GSE96464	False	SRR5339533	H3K4me1
GSM2534614	GSE96463	False	SRR5339528	H3K27ac
GSM2534615	GSE96463	False	SRR5339529	H3K27ac
GSM2534613	GSE96462	False	SRR5339524	Control
GSM2534611	GSE96461	False	SRR5339534	CREM
GSM2534612	GSE96461	False	SRR5339535	CREM
GSM2534609	GSE96460	False	SRR5339522	H2AFZ
GSM2534610	GSE96460	False	SRR5339523	H2AFZ
GSM2534607	GSE96459	False	SRR5339567	H3K9me2
GSM2534608	GSE96459	False	SRR5339568	H3K9me2
GSM2534605	GSE96458	False	SRR5339537	H4K20me1
GSM2534606	GSE96458	False	SRR5339538	H4K20me1
GSM2534602	GSE96457	False	nan	Control
GSM2534603	GSE96457	False	SRR5339521	Control
GSM2534604	GSE96457	False	nan	Control
GSM2534600	GSE96456	False	SRR5339515,SRR5339516,SRR5339517	Control
GSM2534601	GSE96456	False	SRR5339518	Control
GSM2534598	GSE96455	False	SRR5339519	JUNB
GSM2534599	GSE96455	False	SRR5339520	JUNB
GSM2534596	GSE96454	False	SRR5339510	H3K36me3
GSM2534597	GSE96454	False	SRR5339511,SRR5339512,SRR5339513	H3K36me3
GSM2534595	GSE96453	False	SRR5339514	Control
GSM2534594	GSE96452	False	SRR5339480,SRR5339481	Control
GSM2534592	GSE96451	False	SRR5339508	H3K4me1
GSM2534593	GSE96451	False	SRR5339509	H3K4me1
GSM2534590	GSE96450	False	SRR5339497	POLR2AphosphoS5
GSM2534591	GSE96450	False	SRR5339498	POLR2AphosphoS5
GSM2534589	GSE96449	False	SRR5339536	Control
GSM2534587	GSE96448	False	SRR5339500,SRR5339499	H3K9me3
GSM2534588	GSE96448	False	SRR5339501	H3K9me3
GSM2534585	GSE96447	False	SRR5339482,SRR5339483,SRR5339484	H2AFZ
GSM2534586	GSE96447	False	SRR5339485	H2AFZ
GSM2534584	GSE96446	False	SRR5339486	Control
GSM2534582	GSE96445	False	SRR5339487,SRR5339488,SRR5339489	H3K27me3
GSM2534583	GSE96445	False	SRR5339490	H3K27me3
GSM2534580	GSE96444	False	SRR5339467	H3K36me3
GSM2534581	GSE96444	False	SRR5339468	H3K36me3
GSM2534578	GSE96443	False	SRR5339505,SRR5339504,SRR5339503,SRR5339502	H3K4me3
GSM2534579	GSE96443	False	SRR5339506,SRR5339507	H3K4me3
GSM2534576	GSE96442	False	SRR5339469	H4K20me1
GSM2534577	GSE96442	False	SRR5339470,SRR5339471,SRR5339472	H4K20me1
GSM2534574	GSE96441	False	SRR5339491	ZHX2
GSM2534575	GSE96441	False	SRR5339492	ZHX2
GSM2534572	GSE96440	False	SRR5339495	H3K4me3
GSM2534573	GSE96440	False	SRR5339496	H3K4me3
GSM2534567	GSE96439	False	SRR5339473	H3K4me2
GSM2534568	GSE96439	False	SRR5339474	H3K4me2
GSM2534569	GSE96439	False	SRR5339475	H3K4me2
GSM2534570	GSE96439	False	SRR5339476	H3K4me2
GSM2534571	GSE96439	False	SRR5339477	H3K4me2
GSM2534564	GSE96438	False	SRR5339525	H2AFZ
GSM2534565	GSE96438	False	SRR5339526	H2AFZ
GSM2534566	GSE96438	False	SRR5339527	H2AFZ
GSM2534561	GSE96437	False	nan	H3F3A
GSM2534562	GSE96437	False	SRR5339493	H3F3A
GSM2534563	GSE96437	False	SRR5339494	H3F3A
GSM2534559	GSE96436	False	SRR5339451,SRR5339452,SRR5339453,SRR5339454	H3K4me1
GSM2534560	GSE96436	False	SRR5339455,SRR5339456	H3K4me1
GSM2534557	GSE96435	False	SRR5339460,SRR5339461,SRR5339462	H3K9ac
GSM2534558	GSE96435	False	SRR5339463	H3K9ac
GSM2534555	GSE96434	False	SRR5339449	H3K36me3
GSM2534556	GSE96434	False	SRR5339450	H3K36me3
GSM2534553	GSE96433	False	SRR5339445	H3K4me2
GSM2534554	GSE96433	False	SRR5339446,SRR5339447	H3K4me2
GSM2534551	GSE96432	False	SRR5339441	H2AFZ
GSM2534552	GSE96432	False	SRR5339442,SRR5339443,SRR5339444	H2AFZ
GSM2534549	GSE96431	False	SRR5339436,SRR5339437	Control
GSM2534550	GSE96431	False	SRR5339438,SRR5339439	Control
GSM2534547	GSE96430	False	SRR5339431,SRR5339430	H3K27me3
GSM2534548	GSE96430	False	SRR5339432,SRR5339435,SRR5339434,SRR5339433	H3K27me3
GSM2534545	GSE96429	False	SRR5339426	TCF7
GSM2534546	GSE96429	False	SRR5339427	TCF7
GSM2534543	GSE96428	False	SRR5339419	CBFB
GSM2534544	GSE96428	False	SRR5339420	CBFB
GSM2534541	GSE96427	False	SRR5339407	H2AFZ
GSM2534542	GSE96427	False	SRR5339408	H2AFZ
GSM2534539	GSE96426	False	SRR5339421,SRR5339422,SRR5339423	H3K36me3
GSM2534540	GSE96426	False	SRR5339424,SRR5339425	H3K36me3
GSM2534538	GSE96425	False	SRR5339440	Control
GSM2534536	GSE96424	False	SRR5339409	NRF1
GSM2534537	GSE96424	False	SRR5339410	NRF1
GSM2534533	GSE96423	False	nan	H3K4me2
GSM2534534	GSE96423	False	SRR5339417	H3K4me2
GSM2534535	GSE96423	False	SRR5339418	H3K4me2
GSM2534531	GSE96422	False	SRR5339413,SRR5339412	H3K9ac
GSM2534532	GSE96422	False	SRR5339414	H3K9ac
